packetDelay:vector DNP3NetworkTopology.distAuto (#0 - LightTraffic-0-20260310-06:29:58-35672),
141.249275,1.249274999999999903
141.2769,1.276899999999999918
141.304525,1.304524999999999927
141.33215,1.332149999999999938
141.359775,1.359774999999999951
141.3874,1.387399999999999962
141.415025,1.415024999999999975
141.44265,1.442649999999999981
150.089025,0.089024999999999992
150.11665,0.116650000000000003
150.144275,0.144274999999999985
150.1719,0.171899999999999996
150.199525,0.199525000000000007
150.22715,0.227149999999999962
150.254775,0.254774999999999972
150.2824,0.282399999999999982
150.310025,0.310024999999999994
150.33765,0.337650000000000004
150.365275,0.365275000000000014
150.3929,0.392900000000000025
150.420525,0.420524999999999925
150.44815,0.448149999999999935
150.475775,0.475774999999999945
150.5034,0.503399999999999845
150.531025,0.531024999999999856
150.55865,0.558649999999999867
150.586275,0.586274999999999877
150.6139,0.613899999999999887
150.641525,0.641524999999999898
150.66915,0.669149999999999908
150.696775,0.696774999999999918
150.7244,0.724399999999999929
150.752025,0.752024999999999939
150.77965,0.779649999999999948
150.807275,0.80727499999999996
150.8349,0.834899999999999972
150.862525,0.862524999999999984
150.89015,0.890149999999999991
150.917775,0.917775000000000003
150.9454,0.945400000000000013
150.973025,0.973025000000000025
151.00065,1.000649999999999813
151.028275,1.028274999999999823
151.0559,1.055899999999999834
151.083525,1.083524999999999844
151.11115,1.111149999999999856
151.138775,1.138774999999999865
151.1664,1.166399999999999876
151.194025,1.194024999999999887
151.22165,1.221649999999999897
151.249275,1.249274999999999903
151.2769,1.276899999999999918
151.304525,1.304524999999999927
151.33215,1.332149999999999938
151.359775,1.359774999999999951
151.3874,1.387399999999999962
151.415025,1.415024999999999975
151.44265,1.442649999999999981
160.089025,0.089024999999999992
160.11665,0.116650000000000003
160.144275,0.144274999999999985
160.1719,0.171899999999999996
160.199525,0.199525000000000007
160.22715,0.227149999999999962
160.254775,0.254774999999999972
160.2824,0.282399999999999982
160.310025,0.310024999999999994
160.33765,0.337650000000000004
160.365275,0.365275000000000014
160.3929,0.392900000000000025
160.420525,0.420524999999999925
160.44815,0.448149999999999935
160.475775,0.475774999999999945
160.5034,0.503399999999999845
160.531025,0.531024999999999856
160.55865,0.558649999999999867
160.586275,0.586274999999999877
160.6139,0.613899999999999887
160.641525,0.641524999999999898
160.66915,0.669149999999999908
160.696775,0.696774999999999918
160.7244,0.724399999999999929
160.752025,0.752024999999999939
160.77965,0.779649999999999948
