,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset,unit
16,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[16],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
17,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[17],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
18,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[18],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
19,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[19],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
1,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[1],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
20,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[20],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
21,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[21],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
22,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[22],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
23,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[23],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
24,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[24],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
25,LightTraffic-0-20260310-06:29:58-35672,DNP3NetworkTopology.meter[25],retransmissions,0.0,LightTraffic,20260310-06:29:58,20260310-062958,LightTraffic,omnetpp.ini,,,,,DNP3NetworkTopology,35672,0,#0,results,0,0,
